Name,Notes,Assignee,Status,AI assist
2-1700738447930,No impact,,3x3,Workshop feedback
3-1700738447930,Digital skills are not structured,,3x3,Workshop feedback
1-1700748825556,There is no programmer or developer,,3x3,Workshop agenda
0-1700748831590,OPEA largest segment from accountant perspective,,3x3,Workshop Note
2-1700748831590,questionnaire very basic - hence did not answer,,3x3,Feedback
3-1700748837833,Works closely with all parts in the value chain,,3x3,Operations Management
1-1700748843974,I know about the PACE program,,3x3,Workshop
2-1700748843974,Tool overview: Lessons learned,,3x3,Workshop agenda
3-1700748843974,I know DigiRES,,3x3,Workshop
1-1700748848020,Going from LTI to forward looking KPIs,,3x3,Business Strategy
3-1700748848020,Maybe future technologies e.g. Augmented Reality,,3x3,Technology
1-1700748861431,PPE work group with operations,,3x3,Meeting agenda
12-1700748861431,Last year the improvement plan was part of a green engine,,3x3,Workshop Note
13-1700748861431,1x a year collecting input for improvement plan,,3x3,Workshop agenda
15-1700748861431,Nearly everyone is an engineer and have IT skills,,3x3,Workshop
3-1700748861431,"Dev, Ops, Cons - main stakeholders",,3x3,Meeting agenda
7-1700748861431,Paperwork tools (COSMOS Digi Archive) are effective,,3x3,Workshop feedback
1-1700748877650,"wrist bands e.g. in warehousing, pos. tracking + vital tracking",,3x3,Inventory Management
10-1700748877650,How would collab look like with it/ot - how often/regularly/who with?,,3x3,Meeting agenda
9-1700748877650,"Marcel Bovens (Heading Asset Plan &amp; Safety &amp; Governance Team), central to HSE improvement initiatives, very experienced",,3x3,Feedback
0-1700754414304,"Dept.: Enabler on a high-level, setting the frame (architecture &amp; governance) and enabling others to fill the frame",,3x3,Workshop notes
1-1700754414304,"Next steps: Making financials/budget clear for dig. initiatives, PMO: setting the frame (proper project) for dig. initiatives, Strategy &amp; Architecture -&gt; how does it fit to future landscape; Governance -&gt; Workers Council",,3x3,Meeting agenda
10-1700754414304,"Innovation only possible on more detailled level, complexity is really high but scratching the surface does not change anything",,3x3,Workshop notes
11-1700754414304,Document-driven rather than data-driven,,3x3,Workshop feedback
12-1700754414304,IT/OT enabler giving the boundaries within wich business is the driver,,3x3,Business Operations
13-1700754414304,Understaffing,,3x3,Workplace issue
14-1700754414304,Unclear priorities; several things are highly prioritized at once,,3x3,Workshop Feedback
15-1700754414304,We do not,,3x3,Negative statement
16-1700754414304,Dept providing strategy &amp; governance: What is it based upon? ,,3x3,Workshop agenda
17-1700754414304,"Currently gut-feeling, would be good if it was based on data and empirical results (taken from data), need for quantification of things we do (costs, impact of strategic initiatives) - no data crunching but data collection missing)",,3x3,Feedback
18-1700754414304,MS Office Suite,,3x3,Software
19-1700754414304,AI-based tools should be more incorporated/included,,3x3,Technology
2-1700754414304,Markus Dobler,,3x3,Name
20-1700754414304,No particular tools given no particular tasks,,3x3,Workshop agenda
21-1700754414304,Challenge: Highly visible that dept. is document-driven not data-driven company,,3x3,Workshop Note
22-1700754414304,Mainly regulated/defined within Demand Mgmt Process,,3x3,Process documentation
23-1700754414304,PACE: special case due to broad nature of initiative; 3 dept heads in SteerCo,,3x3,Meeting notes
24-1700754414304,Collaboration within subprojects of PACE program; iIOT e.g.,,3x3,Project Management
25-1700754414304,Communication is inefficient; roadmap is missing (updated visual),,3x3,Operations Management
26-1700754414304,"Outdated documents, lengthy noone reads",,3x3,Documentation
27-1700754414304,Communication is not efficient: Dropping documents is not efficient,,3x3,Feedback
28-1700754414304,Tangible communcation; highly business-driven (coming from business; how to improve business; tech is an enabler (improvement strategy)),,3x3,Workshop notes
29-1700754414304,"A lot, dig. transformation was part of the dept. ",,3x3,Workshop notes
3-1700754414304,Dig. Roadmap from IT/OT perspective would need to include OPEA &amp; OFF,,3x3,Workshop Note
30-1700754414304,Improvement of processes (Demand Mgmt Process),,3x3,Operations Management
31-1700754414304,Less communication between dig. transformation &amp; Dept. ,,3x3,Workshop feedback
33-1700754414304,Shubham has the skills; dig. knowledge can be improved within dept. ,,3x3,Feedback
34-1700754414304,Reasoning to include someone like Shubham in dept. to improve knowledge; influential factor(,,3x3,Meeting agenda
36-1700754414304,No plan of upskilling on that matter,,3x3,Training and Development
37-1700754414304,Dept. should be involved in all dig. initiatives; governance is applied and well embedded in architecture,,3x3,Workshop notes
39-1700754414304,To be avoided: Delivering great business value but not aligned with architecture,,3x3,Workshop Note
4-1700754414304,Need to include more metrics (financial and performance),,3x3,Operations Management
41-1700754414304,"Given everything is a dig. initiative: IIOT project, PACE potentially (improving IT/OT but not digitalising/i",,3x3,Project Management
42-1700754414304,ITOT not in a suiting position (given hub position) to support business,,3x3,Operations Management
43-1700754414304,There is no current dig. roadmap,,3x3,Operations
44-1700754414304,"OFF is going into the direction, dig. initatives driven by business - nothing in OPEA",,3x3,Workshop notes
45-1700754414304,"Objectives are not perfectly aligned within dept., ",,3x3,Workplace issue
46-1700754414304,AI topics: hackathon; could potentially move faster in that direction (more ressources &amp; focus on the topic),,3x3,Meeting Notes
47-1700754414304,Sebastian reporting to OPEA but not OFF,,3x3,Workplace communication
48-1700754414304,Dependency for IT/OT on OPEA &amp; OFF Strategy,,3x3,Operations Management
49-1700754414304,Dept closely entangled with Demand Mgmt Process/Demands (dig. initiatives) - tech realisation &amp; embeddment in governance &amp; archtiecture,,3x3,Operations Management
5-1700754414304,Too little understanding about business,,3x3,Feedback
50-1700754414304,Dig. Initiative Definition?,,3x3,Workshop agenda
51-1700754414304,Dept.: Provision of Steering for IT/OT,,3x3,Workshop agenda
52-1700754414304,,,3x3,
53-1700754414304,Strategy &amp; Architecture Team,,3x3,Workshop agenda
54-1700754414304,"Solution Architect &amp; Principal, since 7-8 months Program Manager for PACE",,3x3,Job Title
6-1700754414304,Value Chain knowledge is unevenly spread ,,3x3,Workshop Note
7-1700754414304,"Ideal World: Dept. closer to Demand Mgmt Process, collecting more data &amp; empirical results; really assist the dig. initiatives way closer",,3x3,Workshop notes
8-1700754414304,"Boundaries of initiatives, that can easily be operated by IT/OT",,3x3,Workshop notes
9-1700754414304,Shubham Jhalani,,3x3,Name
0-1700754440771,Carsten ,,3x3,Name
1-1700754440771,We have a lot of data but nobody is deriving any analytics from it,,3x3,Operations Management
10-1700754440771,"Direction business wants to go - wrt demands being raised, what are people trying to get done",,3x3,Meeting notes
11-1700754440771,"Improvements in capabilities, financials, etc - missing KPIs",,3x3,Operations Management
12-1700754440771,"Missing Performance Measurement; matching goals with KPIs (e.g. project delivery, capability gaps)",,3x3,Operations Management
14-1700754440771,Capable within team; IT/OT generally does have the skills,,3x3,Workshop notes
15-1700754440771,Hardware &amp; Equipment ,,3x3,Inventory
16-1700754440771,"Knowledge via Youtube, Bing Chat",,3x3,Technology
17-1700754440771,"Copilot, Airtable, Office 365 Suite, Bee360",,3x3,Software/Applications
18-1700754440771,Status Reporting,,3x3,Workshop agenda
19-1700754440771,"Word of Mouth, Email, Chatting, etc- ",,3x3,Marketing Strategy
20-1700754440771,"New Demands, Escalations ",,3x3,Operations Management
21-1700754440771,Very poorly being used,,3x3,Feedback
22-1700754440771,"Data for the sake of having data, but no insights",,3x3,Workshop feedback
23-1700754440771,"Misunderstanding of overarching processes (security processes, procurement processes, governance processes, workers council processes",,3x3,Operations Management
24-1700754440771,Build pathways for requests that are clear and understandable,,3x3,Operations Management
25-1700754440771,Emine ,,3x3,Name
26-1700754440771,well catered for as RWE employee,,3x3,Feedback
27-1700754440771,"Finance hand-over to Controlling (Daniel Amend), MTP with Controlling; rather than PMO",,3x3,Meeting agenda
29-1700754440771,"MTP process is not fit for purpose. Instead of detailed line items, go for buckets",,3x3,Operations Management
3-1700754440771,"1-part: MTP, other part: regular demand -&gt; match idea to MTP (if it does not match pushed back until new MTP (new demand in backlog for e.g. 6 months): Demand vs. MTP - needs more intelligent/better way to do it",,3x3,Operations Management
30-1700754440771,Constant structured manner that gives value to us,,3x3,Workshop feedback
31-1700754440771,"List of Projects which are helping to facilitate us achieving overarching strategic goals (short, midterm, longterm)",,3x3,Strategic Planning
32-1700754440771,"Collaboration, Communication, Security/Safety, Teamwork, Access to Network/Files/E-Mails",,3x3,Workshop agenda/ topics
33-1700754440771,"Money, time, activities - FTE-related; business-impact to a project (100k per FTE on average)",,3x3,Workshop notes
34-1700754440771,Measure against FTEs,,3x3,Operations Management
35-1700754440771,"Generating unit, rather than commercializing unit",,3x3,Business Operations
36-1700754440771,Dig. Transformation: Us utilizing tools to make our work better/life easier,,3x3,Workshop
37-1700754440771,Pos. Impact but not transformation - evolvement/evolution,,3x3,Workshop notes
38-1700754440771,"Dig. Roadmap: like Portfolio - relevant information to guide/steer projects; basic information (size, involvement, stakeholders, etc.) - catering for so many people (within PMO) - each steerco has other requirements",,3x3,Workshop notes
39-1700754440771,Fibonacci in Prioritization Matrix also measuring against FTEs,,3x3,Workshop notes
4-1700754440771,Pathways: FAQ -&gt; How to (this is the path you need to go),,3x3,Instructions
40-1700754440771,"If there is going to be an overarching steerco monitoring status reports/dig. roadmap - information is there &amp; available; dig. roadmap Steerco, KPI",,3x3,Meeting agenda
41-1700754440771,Controlling should do data insights,,3x3,Operations Management
42-1700754440771,"Non-existent, collection of dig. &amp; ITOT projects",,3x3,Project Management
43-1700754440771,Dept. Objectives: OKR - not working against objectives but managing portfolio,,3x3,Workshop Notes
44-1700754440771,"Projects run in time, project and budget",,3x3,Operations Management
45-1700754440771,As PMO - regular interactions regarding everything IT/OT projects,,3x3,Meeting agenda
46-1700754440771,"Green OS - senior mgmt approval, lacking communication, ITOT informed after it already started (escalations started already)",,3x3,Operations Management
47-1700754440771,"No pre-alignment on availability, Process, etc. ",,3x3,Operations Management
48-1700754440771,All dig. initiatives going through dept.; review/governance/embedding,,3x3,Operations Management
49-1700754440771,"DMP, DMF, ",,3x3,Acronym
5-1700754440771,What are the expectations with BP e.g. when a new demand is coming in -&gt; stakeholder expectations,,3x3,Workshop agenda
6-1700754440771,"Creating a group to guide business along the pathways, e.g. BP-Team",,3x3,Business Strategy
7-1700754440771,Solution: Bucket for every business unit (IT/OT spend) - not to be named specifically but can be used for everything,,3x3,Operations Management
8-1700754440771,Mismatching between MTP &amp; Demand leads to misunderstanding &amp; intransparency; CFO decrease budget -&gt; need to go through all MTP line items as well,,3x3,Operations Management
9-1700754440771,"Lots of data &amp; information availability, 0 analytics",,3x3,Operations Management
0-1700754512261,GPP2 ,,3x3,Workshop agenda
0-1700754512262,We need systems to talk through eachother,,3x3,Operations Management
1-1700754512261,Holdup is Discoveries,,3x3,Workshop agenda
1-1700754512262,We need to think about how departments talk to eachother,,3x3,Workplace communication
10-1700754512261,"So far the best existing digital landscape, catalog and roadmap",,3x3,Technology
10-1700754512262,Work closely with some of the teams in IT/OT,,3x3,Work instructions
11-1700754512261,Streamline tool usage,,3x3,Operations Management
11-1700754512262,Digital Community / Digital Catchup,,3x3,Meeting agenda
12-1700754512261,We aim to have one tool across regions. e.g. access mgr,,3x3,Operations Management
12-1700754512262,Sometimes involved in discoveries,,3x3,Workshop prompt
13-1700754512261,Digital Skills need to link with business skills,,3x3,Workshop Note
13-1700754512262,Have an overview of the digital landscape - OPS,,3x3,Workshop agenda
14-1700754512261,Yes,,3x3,Response
14-1700754512262,"Show and Tell of the digital landscape, 2x a year",,3x3,Meeting schedule
15-1700754512261,How does digital products apply in real life,,3x3,Workshop prompt
15-1700754512262,Monthly dig. call ,,3x3,Meeting agenda
16-1700754512261,Digital skills + business understanding,,3x3,Workshop agenda
16-1700754512262,Health and Safety targets are key,,3x3,Workplace safety
17-1700754512261,Frustration Level with tools: hardly integrated with each other; tools are delayed,,3x3,Feedback
18-1700754512261,Rollout Status visible - proactive approach,,3x3,Operations Management
19-1700754512261,"Country Mgrs, Site Mgrs want to know when things are rolled out",,3x3,Workshop logistics
2-1700754512261,MTP Planning was rushed,,3x3,Operations Management
2-1700754512262,Health and Safety targets are key,,3x3,Workplace safety
20-1700754512261,Tools need to talk to eachother,,3x3,Operations Management
21-1700754512261,Some product owners don't even know who the end-users are,,3x3,Workshop
22-1700754512261,Proactive approach: direct feedback from OPS,,3x3,Operations Management
23-1700754512261,Customer Centricity is lacking,,3x3,Feedback
24-1700754512261,Development may have dig. overview,,3x3,Workshop agenda
25-1700754512261,Analytics is a problem,,3x3,Workshop feedback
26-1700754512261,The biggest bottleneck,,3x3,Operations Management
27-1700754512261,"ARLO, MCCM",,3x3,Acronym
28-1700754512261,OPS has not been involved,,3x3,Operations
29-1700754512261,Global Production Planning Tool ... OPS was not even involved,,3x3,Workshop Note
3-1700754512261,"Country Managers: WIllem van der Toom, Jon Henderson",,3x3,List of Names
3-1700754512262,3. Increase Efficiency,,3x3,Operations Management
30-1700754512261,"Have not been able to use CoPilot, would like to use new tech",,3x3,Technology
31-1700754512261,Digital Understanding is quite high ,,3x3,Workshop Note
32-1700754512261,We need a common discovery rating,,3x3,Workshop
33-1700754512261,"Site Managers: Jan Meijer, Kyle Liptrot",,3x3,Staff List
34-1700754512261,Digital Roadmap must start with the data,,3x3,Strategy
35-1700754512261,Digital Skills need to know how data flows,,3x3,Workshop
36-1700754512261,Digital needs to be simple (tools),,3x3,Workshop prompt
37-1700754512261,Team wanted to use Airtable,,3x3,Technology
38-1700754512261,OPEA OPS Dig. Landscape; Mural to add,,3x3,Workshop agenda
39-1700754512261,Rollout delays are frustrating,,3x3,Operations
4-1700754512261,Dave Saunders (UK Controlroom),,3x3,Contact Information
4-1700754512262,2. Reduce Down time,,3x3,Operations Management
40-1700754512261,Someone needs to look at the overall picture,,3x3,Feedback
41-1700754512261,IT/OT: overall high level overview; User journey for value chain,,3x3,Workshop agenda
42-1700754512261,Personas: Country Manager/Site Manager/etc. - find out gaps and fill these,,3x3,Workshop agenda
43-1700754512261,Look at peoples' daily work,,3x3,Workshop agenda
44-1700754512261,In general there is space for improvement,,3x3,Feedback
45-1700754512261,"Data owned by OPS, PO (unclear where it should sit), Sitemanager should have the data, but Product is owned by ITOT currently",,3x3,Operations Management
46-1700754512261,Digital understanding in central ops is good ,,3x3,Workshop Note
47-1700754512261,Demand Management Process is still not understood,,3x3,Operations Management
48-1700754512261,"Lots of overhead, business should prioritize and IT/OT should challenge or adhere to prioritization but should not allow for doing prioritization again",,3x3,Meeting notes
49-1700754512261,Initiatives through value chain E2E  (interlinked),,3x3,Operations Management
5-1700754512261,AMD Master Data is wrong,,3x3,Issue or Problem
5-1700754512262,Digital Operations Manager,,3x3,Job Title
50-1700754512261,We need a OPEA wide roadmap. Now we only have one for Ops,,3x3,Operations
51-1700754512261,Love for one to happen across OPEA,,3x3,Cryptic message
52-1700754512261,Safety Culture is an inspection tool that goies across the value chain,,3x3,Workshop Note
53-1700754512261,"More tools to be used across OPEA, Inspection Tool ",,3x3,Workshop agenda
54-1700754512261,"Has to start from ground level: Data collcetion (AMD, OPS Database, NRT, SAP, DigiRES)",,3x3,Operations Management
55-1700754512261,"Data collection is key, Ops, AMD, DigiRES",,3x3,Operations Management
56-1700754512261,"Data in one place, have access to data",,3x3,Reminder
57-1700754512261,"AMD, SAP, DigiRES = already 3 Master Data",,3x3,Operations Manager
58-1700754512261,"We have our, I don't know what is yours.",,3x3,Uncategorized
59-1700754512261,"Link to Springboard 2, happy to use it",,3x3,Workshop feedback
6-1700754512261,AMD form to correct data with providing the correct data,,3x3,Documentation
6-1700754512262,"""Whatever it takes for OPS to get working""",,3x3,Workplace Motivation
60-1700754512261,Digital Landscape categories are updated when needed,,3x3,Workshop
61-1700754512261,We use a number of KPIs to measure are targets,,3x3,Business Operations
62-1700754512261,"What do you mean with ""our"" roadmap",,3x3,Question
63-1700754512261,"Basic main products: CURT, NRT, Analyst Portal",,3x3,Workshop agenda
7-1700754512261,"Prio: Order of tools working with each other, impact, but no proper defined list ",,3x3,Workshop notes
7-1700754512262,Support OPS with any new dig. demands,,3x3,Operations Manager
8-1700754512261,"No individial projects, big picture ",,3x3,Work philosophy
8-1700754512262,Optimising and Support,,3x3,Operations Management
9-1700754512261,Current State &amp; Future State of OPS,,3x3,Workshop agenda
9-1700754512262,"Warehousing control room, technical performance analysis",,3x3,Operations Management
0-1700754532548,Will establish Business Partners KPIs,,3x3,Workshop agenda
1-1700754532548,IT/OT Strategy,,3x3,Workshop agenda
10-1700754532548,"We need a roadmap, focus on business value ",,3x3,Strategy
11-1700754532548,IT/OT as a whole is resources,,3x3,Workshop notes
12-1700754532548,David KleeConstruction within Paolo,,3x3,Uncategorized
13-1700754532548,Listing of project,,3x3,To-Do List
14-1700754532548,"2 ways, capturing demands, do what it takes ",,3x3,Workshop agenda
15-1700754532548,GreenOS,,3x3,Technology
16-1700754532548,"Also, driving and delivering the initiatives",,3x3,Operations Manager
17-1700754532548,Not Really,,3x3,Uncategorized
18-1700754532548,Demand Management Process,,3x3,Operations Management
19-1700754532548,There is a need for Digital Ambassador,,3x3,Job Posting
2-1700754532548,Teams,,3x3,Workshop
20-1700754532548,We need to explain why we need a digital roadmap,,3x3,Meeting agenda
21-1700754532548,Stefan Christ TI Engineering,,3x3,Contact Information
22-1700754532548,No trainings,,3x3,Workshop
23-1700754532548,Demands must be linked to the digital roadmap,,3x3,Strategy
24-1700754532548,Biggest challenge is the prioritisation,,3x3,Workshop Note
25-1700754532548,Offshore Digital Ecosystem,,3x3,Workshop agenda
26-1700754532548,Felix Schusler,,3x3,Name
27-1700754532548,OneNote,,3x3,Office Supplies
28-1700754532548,Any new tools require an investment to maximise the use,,3x3,Workshop
3-1700754532548,CoPilot,,3x3,Workshop agenda
4-1700754532548,Roll-out scaling ,,3x3,Operations
5-1700754532548,What is Digital? Is it everything we do digitally?,,3x3,Question
6-1700754532548,Digital Roadmap shoudl drive the MTP,,3x3,Strategy
7-1700754532548,Airtable,,3x3,Software
8-1700754532548,Team Connect,,3x3,Workshop agenda
9-1700754532548,What is the benchmark? ,,3x3,Question
0-1700808879015,"1-part: MTP, other part: regular demand -&gt; match idea to MTP (if it does not match pushed back until new MTP (new demand in backlog for e.g. 6 months): Demand vs. MTP - needs more intelligent/better way to do it",,3x3,Operations Management
0-1700808953845,User Journey per most important users E2E within OPS and touching upon other VC parts?,,3x3,Workshop agenda
0-1700809438721,Advise mgnt on actions to take to ensure health and safety,,3x3,Workplace safety
0-1700809473604,Hardly use any initiatives,,3x3,Feedback
0-1700809499517,We initiated the PPE hub,,3x3,Project Management
0-1700809513577,Launching a Risk Assesment tool,,3x3,Project Management
0-1700809530224,Ritas and Tarot,,3x3,Entertainment
0-1700809568619,ITOT only for implementation in architecture,,3x3,Technology
0-1700809594662,Discovery is an inspection tool,,3x3,Workshop Tool
0-1700809707483,PACE seems to run below the radar,,3x3,Workplace feedback
1-1700809707483,Using operational tools,,3x3,Operations Management
0-1700809776883,I think PACE is about infrastructure,,3x3,Workshop discussion
0-1700809836014,Joint collab with OPS - AR training etc.,,3x3,Workshop agenda
1-1700809836014,Innovation/Tools/etc.,,3x3,Workshop agenda
0-1700809841258,"No harm to people and environment, measuring - same objective",,3x3,Workshop Note
0-1700809938355,Tele-medicine to be used directly after an incident,,3x3,Healthcare
1-1700809938355,HSE Improvement Plan,,3x3,Workshop agenda
0-1700809968862,Potentials for future technologies for HSE,,3x3,Workshop agenda
0-1700809969969,I am not an expert in technology outside turbines and PV,,3x3,Workshop Note
0-1700810112535,This year we had +30 initiatives on HSE,,3x3,Workplace Safety
0-1700810133584,Next year 3 or 4 higher impact initiatives,,3x3,Strategy
0-1700810155859,Lessons learnt platform,,3x3,Workshop
0-1700810165277,permit to work system itot,,3x3,Workshop
0-1700810262519,"The idea, what does in improve and milestone",,3x3,Workshop agenda
0-1700810354052,Cons Dev main stakeholders,,3x3,Meeting agenda
0-1700810497196,"Clear structure in interfaces, Tags for Value Chain, INteractions Interfaces",,3x3,Notes from a workshop
0-1700810513690,Interaction interfaces to see of it impact us,,3x3,Workshop notes
0-1700810762300,Last year the improvement plan was part of a green engine,,3x3,Workshop Note
0-1700810833322,Web based training for RITAs,,3x3,Training
0-1700810864069,Ritas: Inspection + Reporting(Entire group is moving to RITA),,3x3,Workshop agenda
0-1700810867419,"SAP, Tarot, PPE Hub",,3x3,Workshop agenda
0-1700810915524,"RITAs is clucky, UX is frustrating to use",,3x3,Feedback
0-1700810946245,Someone from IT OT was involved,,3x3,Workshop Note
0-1700810960821,DigiRES: Forecasting priojects + plan ressources,,3x3,Workshop agenda
